Producto,Especificaciones,Precio Compra (USD),PVP Sugerido (USD),Recomendado
Moto Max 350 (12Ah),350W / 48V 12Ah,715,850,✅
Moto Max 350 (20Ah),350W / 48V 20Ah,765,930,✅
Monster 1200,1200W / 60V 20Ah,765,930,🟡
Strada 1200,1200W / 60V 20Ah,890,1190,🟢
Moto de Carga CA-01,500W / 48V 20Ah,890,1190,🟢
Moto de Carga CA-02,650W / 60V 20Ah,890,1190,🟢
Chopper Eléctrica (varios modelos),1000W / 60V,690,1750,🟡
Scooter Eléctrico 800W K,800W / 48V ácido plomo,1050,1249,🟡
Scooter HEMEI 800W,800W / 60V 20Ah,1170,1299,✅
Retro Max 800W,800W / 48V 20Ah,1070,1249,🟡
Bici K Street,250W / 15-20 km,695,899,✅
Bici Queen,250W / 15-20 km,680,850,🟢
Bici MTB Kray,250W / 15-20 km / Rodado 29,720,929,✅
Bici K-Wing,350W / 30 km / Rodado 20x4,920,1150,🔴
Bici K Lady,350W / 20-30 km / Rodado 26,840,1049,🟢
Monopatín KDS-DC03,100W / 8-12 km,139,180,✅
Monopatín KDS-T3,180W / 6-8 km,200,260,🟢
Monopatín KDS-ES10,250W / 23-25 km,350,455,✅
Monopatín KDS-ES8,350W / 20-23 km,425,552,✅
Monopatín KDS-DC10,350W / 20-40 km,495,645,🟢
Monopatín KDS-DC22,500W / 30-40 km,595,749,✅
Monopatín KDS-DC17,800W / 40-50 km,749,973,🟢
Monopatín KDS-DC29,1600W / 50-90 km,1050,1365,✅
Hoverboard KDS-JY605,200W x2 / 8-10 km,118,,🔴
